[570.232, 1656]
[570.63, 1656]
[571.027, 1655]
[571.425, 1658]
[571.823, 1657]
[572.22, 1657]
[572.618, 1657]
[573.016, 1647]
[573.413, 1648]
[573.811, 1648]
[574.209, 1648]
[574.606, 1663]
[575.004, 1655]
[575.402, 1659]
[575.8, 1664]
[576.198, 1661]
[576.595, 1657]
[576.993, 1655]
[577.391, 1658]
[577.789, 1651]
[578.187, 1657]
[578.585, 1649]
[578.982, 1652]
[579.38, 1653]
[579.778, 1650]
[580.176, 1654]
[580.574, 1654]
[580.972, 1657]
[581.37, 1661]
[581.768, 1662]
[582.166, 1657]
[582.564, 1666]
[582.962, 1649]
[583.36, 1655]
[583.758, 1651]
[584.156, 1650]
[584.554, 1652]
[584.952, 1650]
[585.35, 1654]
[585.748, 1657]
[586.147, 1659]
[586.545, 1658]
[586.943, 1657]
[587.341, 1661]
[587.739, 1662]
[588.137, 1649]
[588.536, 1657]
[588.934, 1659]
[589.332, 1649]
[589.73, 1656]
[590.129, 1649]
[590.527, 1644]
[590.925, 1656]
[591.323, 1656]
[591.722, 1654]
[592.12, 1649]
[592.518, 1659]
[592.917, 1661]
[593.315, 1657]
[593.713, 1655]
[594.112, 1653]
[594.51, 1650]
[594.909, 1652]
[595.307, 1651]
[595.706, 1654]
[596.104, 1654]
[596.502, 1645]
[596.901, 1661]
[597.299, 1659]
[597.698, 1655]
[598.096, 1653]
[598.495, 1657]
[598.893, 1653]
[599.292, 1661]
[599.691, 1651]
[600.089, 1652]
[600.488, 1650]
[600.886, 1649]
[601.285, 1650]
[601.684, 1658]
[602.082, 1656]
[602.481, 1659]
[602.88, 1656]
[603.278, 1660]
[603.677, 1661]
[604.076, 1664]
[604.474, 1653]
[604.873, 1652]
[605.272, 1649]
[605.671, 1654]
[606.07, 1650]
[606.468, 1653]
[606.867, 1656]
[607.266, 1658]
[607.665, 1664]
[608.064, 1662]
[608.463, 1663]
[608.861, 1660]
[609.26, 1654]
[609.659, 1662]
[610.058, 1653]
[610.457, 1655]
[610.856, 1655]
[611.255, 1652]
[611.654, 1646]
[612.053, 1657]
[612.452, 1661]
[612.851, 1652]
[613.25, 1660]
[613.649, 1657]
[614.048, 1659]
[614.447, 1655]
[614.846, 1650]
[615.245, 1659]
[615.644, 1655]
[616.043, 1653]
[616.443, 1646]
[616.842, 1660]
[617.241, 1648]
[617.64, 1654]
[618.039, 1665]
[618.438, 1665]
[618.838, 1661]
[619.237, 1657]
[619.636, 1652]
[620.035, 1653]
[620.435, 1664]
[620.834, 1653]
[621.233, 1650]
[621.632, 1651]
[622.032, 1652]
[622.431, 1654]
[622.83, 1656]
[623.23, 1651]
[623.629, 1662]
[624.028, 1661]
[624.428, 1659]
[624.827, 1657]
[625.227, 1665]
[625.626, 1660]
[626.026, 1658]
[626.425, 1661]
[626.824, 1653]
[627.224, 1648]
[627.623, 1652]
[628.023, 1657]
[628.422, 1659]
[628.822, 1653]
[629.221, 1659]
[629.621, 1659]
[630.021, 1659]
[630.42, 1655]
[630.82, 1657]
[631.22, 1655]
[631.619, 1655]
[632.019, 1654]
[632.419, 1647]
[632.818, 1647]
[633.218, 1647]
[633.618, 1650]
[634.017, 1650]
[634.417, 1658]
[634.817, 1659]
[635.216, 1658]
[635.616, 1657]
[636.016, 1654]
[636.416, 1650]
[636.816, 1657]
[637.215, 1650]
[637.615, 1650]
[638.015, 1660]
[638.415, 1656]
[638.815, 1660]
[639.215, 1662]
[639.615, 1665]
[640.015, 1657]
[640.414, 1659]
[640.814, 1652]
[641.214, 1653]
[641.614, 1653]
[642.014, 1646]
[642.414, 1654]
[642.814, 1664]
[643.214, 1655]
[643.614, 1653]
[644.014, 1655]
[644.414, 1659]
[644.815, 1659]
[645.215, 1666]
[645.615, 1663]
[646.015, 1653]
[646.415, 1653]
[646.815, 1656]
[647.215, 1648]
[647.615, 1651]
[648.016, 1653]
[648.416, 1655]
[648.816, 1654]
[649.216, 1654]
[649.616, 1652]
[650.017, 1662]
[650.417, 1652]
[650.817, 1656]
[651.217, 1660]
[651.618, 1657]
[652.018, 1651]
[652.418, 1653]
[652.819, 1661]
[653.219, 1658]
[653.619, 1657]
[654.02, 1654]
[654.42, 1659]
[654.821, 1660]
[655.221, 1653]
[655.621, 1648]
[656.022, 1655]
[656.422, 1654]
[656.823, 1648]
[657.223, 1656]
[657.624, 1652]
[658.024, 1658]
[658.425, 1657]
[658.825, 1663]
[659.226, 1653]
[659.627, 1647]
[660.027, 1646]
[660.428, 1649]
[660.828, 1654]
[661.229, 1657]
[661.63, 1656]
[662.03, 1659]
[662.431, 1654]
[662.832, 1645]
[663.232, 1651]
[663.633, 1650]
[664.034, 1656]
[664.434, 1656]
[664.835, 1654]
[665.236, 1653]
[665.637, 1665]
[666.037, 1647]
[666.438, 1661]
[666.839, 1664]
[667.24, 1660]
[667.641, 1650]
[668.042, 1658]
[668.442, 1651]
[668.843, 1655]
[669.244, 1657]
[669.645, 1658]
[670.046, 1653]
[670.447, 1659]
[670.848, 1655]
[671.249, 1647]
[671.65, 1650]
[672.051, 1657]
[672.452, 1658]
[672.853, 1661]
[673.254, 1658]
[673.655, 1662]
[674.056, 1655]
[674.457, 1654]
[674.858, 1659]
[675.259, 1648]
[675.66, 1649]
[676.061, 1653]
[676.463, 1662]
[676.864, 1669]
[677.265, 1665]
[677.666, 1664]
[678.067, 1658]
[678.468, 1658]
[678.87, 1653]
[679.271, 1650]
[679.672, 1657]
[680.073, 1655]
[680.475, 1661]
[680.876, 1658]
[681.277, 1654]
[681.678, 1649]
[682.08, 1655]
[682.481, 1654]
[682.882, 1651]
[683.284, 1657]
[683.685, 1664]
[684.087, 1657]
[684.488, 1665]
[684.889, 1655]
[685.291, 1654]
[685.692, 1655]
[686.094, 1648]
[686.495, 1648]
[686.897, 1655]
[687.298, 1659]
[687.7, 1657]
[688.101, 1652]
[688.503, 1651]
[688.904, 1659]
[689.306, 1653]
[689.707, 1652]
[690.109, 1659]
[690.511, 1654]
[690.912, 1659]
[691.314, 1656]
[691.716, 1657]
[692.117, 1653]
[692.519, 1651]
[692.92, 1647]
[693.322, 1648]
[693.724, 1655]
[694.126, 1655]
[694.527, 1656]
[694.929, 1653]
[695.331, 1657]
[695.733, 1653]
[696.134, 1656]
[696.536, 1652]
[696.938, 1653]
[697.34, 1659]
[697.742, 1661]
[698.144, 1654]
[698.545, 1658]
[698.947, 1660]
[699.349, 1656]
