[602.082, 3192]
[602.481, 3192]
[602.88, 3189]
[603.278, 3187]
[603.677, 3206]
[604.076, 3215]
[604.474, 3202]
[604.873, 3190]
[605.272, 3214]
[605.671, 3218]
[606.07, 3236]
[606.468, 3227]
[606.867, 3255]
[607.266, 3251]
[607.665, 3269]
[608.064, 3264]
[608.463, 3236]
[608.861, 3255]
[609.26, 3271]
[609.659, 3249]
[610.058, 3274]
[610.457, 3268]
[610.856, 3307]
[611.255, 3308]
[611.654, 3320]
[612.053, 3298]
[612.452, 3274]
[612.851, 3272]
[613.25, 3303]
[613.649, 3286]
[614.048, 3328]
[614.447, 3318]
[614.846, 3316]
[615.245, 3329]
[615.644, 3336]
[616.043, 3339]
[616.443, 3349]
[616.842, 3312]
[617.241, 3354]
[617.64, 3404]
[618.039, 3397]
[618.438, 3353]
[618.838, 3342]
[619.237, 3370]
[619.636, 3387]
[620.035, 3379]
[620.435, 3425]
[620.834, 3384]
[621.233, 3419]
[621.632, 3401]
[622.032, 3424]
[622.431, 3411]
[622.83, 3421]
[623.23, 3430]
[623.629, 3400]
[624.028, 3402]
[624.428, 3460]
[624.827, 3428]
[625.227, 3434]
[625.626, 3454]
[626.026, 3427]
[626.425, 3431]
[626.824, 3426]
[627.224, 3437]
[627.623, 3440]
[628.023, 3463]
[628.422, 3473]
[628.822, 3443]
[629.221, 3446]
[629.621, 3461]
[630.021, 3465]
[630.42, 3458]
[630.82, 3464]
[631.22, 3473]
[631.619, 3497]
[632.019, 3481]
[632.419, 3459]
[632.818, 3520]
[633.218, 3503]
[633.618, 3501]
[634.017, 3475]
[634.417, 3518]
[634.817, 3535]
[635.216, 3551]
[635.616, 3567]
[636.016, 3562]
[636.416, 3547]
[636.816, 3569]
[637.215, 3572]
[637.615, 3548]
[638.015, 3601]
[638.415, 3583]
[638.815, 3595]
[639.215, 3605]
[639.615, 3560]
[640.015, 3603]
[640.414, 3577]
[640.814, 3605]
[641.214, 3599]
[641.614, 3596]
[642.014, 3612]
[642.414, 3607]
[642.814, 3640]
[643.214, 3613]
[643.614, 3641]
[644.014, 3635]
[644.414, 3633]
[644.815, 3607]
[645.215, 3588]
[645.615, 3605]
[646.015, 3627]
[646.415, 3620]
[646.815, 3616]
[647.215, 3639]
[647.615, 3627]
[648.016, 3631]
[648.416, 3646]
[648.816, 3638]
[649.216, 3661]
[649.616, 3669]
[650.017, 3622]
[650.417, 3662]
[650.817, 3668]
[651.217, 3701]
[651.618, 3694]
[652.018, 3711]
[652.418, 3710]
[652.819, 3718]
[653.219, 3708]
[653.619, 3721]
[654.02, 3684]
[654.42, 3710]
[654.821, 3717]
[655.221, 3720]
[655.621, 3728]
[656.022, 3702]
[656.422, 3715]
[656.823, 3724]
[657.223, 3696]
[657.624, 3747]
[658.024, 3696]
[658.425, 3749]
[658.825, 3761]
[659.226, 3825]
[659.627, 3833]
[660.027, 3832]
[660.428, 3799]
[660.828, 3821]
[661.229, 3789]
[661.63, 3809]
[662.03, 3845]
[662.431, 3857]
[662.832, 3833]
[663.232, 3842]
[663.633, 3856]
[664.034, 3880]
[664.434, 3842]
[664.835, 3891]
[665.236, 3868]
[665.637, 3868]
[666.037, 3859]
[666.438, 3846]
[666.839, 3872]
[667.24, 3900]
[667.641, 3897]
[668.042, 3925]
[668.442, 3879]
[668.843, 3906]
[669.244, 3904]
[669.645, 3950]
[670.046, 3933]
[670.447, 3911]
[670.848, 3912]
[671.249, 3889]
[671.65, 3897]
[672.051, 3941]
[672.452, 3902]
[672.853, 3931]
[673.254, 3986]
[673.655, 3992]
[674.056, 3958]
[674.457, 3956]
[674.858, 3960]
[675.259, 3944]
[675.66, 3945]
[676.061, 3955]
[676.463, 3949]
[676.864, 4004]
[677.265, 3987]
[677.666, 4005]
[678.067, 3982]
[678.468, 3992]
[678.87, 4003]
[679.271, 4007]
[679.672, 4005]
[680.073, 4017]
[680.475, 3994]
[680.876, 4038]
[681.277, 4011]
[681.678, 4036]
[682.08, 4008]
[682.481, 4018]
[682.882, 4008]
[683.284, 4044]
[683.685, 4048]
[684.087, 4058]
[684.488, 4042]
[684.889, 4070]
[685.291, 4022]
[685.692, 4060]
[686.094, 4052]
[686.495, 4071]
[686.897, 4056]
[687.298, 4071]
[687.7, 4028]
[688.101, 4098]
[688.503, 4074]
[688.904, 4083]
[689.306, 4076]
[689.707, 4119]
[690.109, 4080]
[690.511, 4129]
[690.912, 4073]
[691.314, 4136]
[691.716, 4127]
[692.117, 4111]
[692.519, 4167]
[692.92, 4098]
[693.322, 4112]
[693.724, 4136]
[694.126, 4118]
[694.527, 4164]
[694.929, 4137]
[695.331, 4096]
[695.733, 4117]
[696.134, 4144]
[696.536, 4150]
