[530.141, 2367]
[530.537, 2367]
[530.934, 2351]
[531.33, 2380]
[531.726, 2389]
[532.123, 2394]
[532.519, 2383]
[532.915, 2382]
[533.312, 2421]
[533.708, 2414]
[534.104, 2404]
[534.501, 2409]
[534.897, 2427]
[535.294, 2412]
[535.69, 2427]
[536.087, 2434]
[536.483, 2419]
[536.88, 2422]
[537.276, 2433]
[537.673, 2461]
[538.069, 2425]
[538.466, 2449]
[538.862, 2451]
[539.259, 2441]
[539.655, 2454]
[540.052, 2485]
[540.449, 2451]
[540.845, 2440]
[541.242, 2437]
[541.639, 2485]
[542.035, 2478]
[542.432, 2505]
[542.829, 2487]
[543.225, 2481]
[543.622, 2496]
[544.019, 2519]
[544.416, 2493]
[544.812, 2511]
[545.209, 2478]
[545.606, 2488]
[546.003, 2490]
[546.4, 2498]
[546.796, 2553]
[547.193, 2532]
[547.59, 2549]
[547.987, 2541]
[548.384, 2553]
[548.781, 2543]
[549.178, 2549]
[549.574, 2548]
[549.971, 2557]
[550.368, 2560]
[550.765, 2539]
[551.162, 2559]
[551.559, 2560]
[551.956, 2568]
[552.353, 2595]
[552.75, 2573]
[553.147, 2564]
[553.544, 2579]
[553.941, 2569]
[554.338, 2586]
[554.735, 2577]
[555.133, 2589]
[555.53, 2600]
[555.927, 2625]
[556.324, 2629]
[556.721, 2646]
[557.118, 2663]
[557.515, 2648]
[557.913, 2633]
[558.31, 2633]
[558.707, 2677]
[559.104, 2673]
[559.502, 2689]
[559.899, 2676]
[560.296, 2680]
[560.693, 2690]
[561.091, 2692]
[561.488, 2700]
[561.885, 2678]
[562.283, 2696]
[562.68, 2735]
[563.077, 2720]
[563.475, 2719]
[563.872, 2723]
[564.269, 2720]
[564.667, 2708]
[565.064, 2727]
[565.462, 2728]
[565.859, 2736]
[566.257, 2765]
[566.654, 2756]
[567.052, 2738]
[567.449, 2799]
[567.847, 2741]
[568.244, 2751]
[568.642, 2763]
[569.039, 2748]
[569.437, 2795]
[569.834, 2771]
[570.232, 2751]
[570.63, 2802]
[571.027, 2758]
[571.425, 2750]
[571.823, 2787]
[572.22, 2801]
[572.618, 2797]
[573.016, 2799]
[573.413, 2797]
[573.811, 2814]
[574.209, 2815]
[574.606, 2819]
[575.004, 2805]
[575.402, 2828]
[575.8, 2856]
[576.198, 2818]
[576.595, 2858]
[576.993, 2836]
[577.391, 2816]
[577.789, 2849]
[578.187, 2849]
[578.585, 2895]
[578.982, 2857]
[579.38, 2875]
[579.778, 2864]
[580.176, 2896]
[580.574, 2869]
[580.972, 2834]
[581.37, 2926]
[581.768, 2911]
[582.166, 2908]
[582.564, 2924]
[582.962, 2943]
[583.36, 2947]
[583.758, 2939]
[584.156, 2967]
[584.554, 2968]
[584.952, 2971]
[585.35, 2992]
[585.748, 2963]
[586.147, 2979]
[586.545, 3000]
[586.943, 3012]
[587.341, 3016]
[587.739, 2989]
[588.137, 3027]
[588.536, 3031]
[588.934, 3035]
[589.332, 3064]
[589.73, 3077]
[590.129, 3017]
[590.527, 3051]
[590.925, 3077]
[591.323, 3063]
[591.722, 3088]
[592.12, 3074]
[592.518, 3080]
[592.917, 3069]
[593.315, 3105]
[593.713, 3128]
[594.112, 3069]
[594.51, 3094]
[594.909, 3123]
[595.307, 3106]
[595.706, 3112]
[596.104, 3116]
[596.502, 3106]
[596.901, 3160]
[597.299, 3162]
[597.698, 3146]
[598.096, 3140]
[598.495, 3150]
[598.893, 3149]
[599.292, 3137]
[599.691, 3165]
[600.089, 3172]
[600.488, 3171]
[600.886, 3184]
[601.285, 3215]
[601.684, 3183]
[602.082, 3176]
[602.481, 3218]
[602.88, 3180]
[603.278, 3192]
[603.677, 3195]
[604.076, 3206]
[604.474, 3220]
[604.873, 3247]
[605.272, 3229]
[605.671, 3249]
[606.07, 3239]
[606.468, 3239]
[606.867, 3233]
[607.266, 3258]
[607.665, 3276]
[608.064, 3272]
[608.463, 3285]
[608.861, 3228]
[609.26, 3269]
[609.659, 3282]
[610.058, 3286]
[610.457, 3305]
[610.856, 3267]
[611.255, 3293]
[611.654, 3313]
[612.053, 3327]
[612.452, 3301]
[612.851, 3279]
[613.25, 3317]
[613.649, 3339]
[614.048, 3355]
[614.447, 3305]
[614.846, 3321]
[615.245, 3311]
